id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,infinite_supply,cmc_rank,last_updated,USD_price,USD_volume_24h,USD_%change_24h,USD_market_cap,platform
27393,BoltBot,BOLT,2,2023-07-03T22:01:29.000Z,1000000.0,0.0,1000000,False,5087,2023-11-15T12:41:59.176Z,0.21230848153539145,1157.72,-0.59803745,0.0,
27447,ZCore Network,ZCR,5,2018-08-13T00:00:00.000Z,,0.0,2500000000,False,5088,2023-11-15T12:41:59.176Z,2.332117681220139e-05,1112.83,-4.63886302,0.0,
13877,e-Money EUR,EEUR,7,2021-11-04T01:58:36.000Z,-1.0,0.0,0,False,5089,2023-11-15T12:41:59.176Z,1.0073999638571345,1221.92,0.09731764,0.0,
11373,Metaverse Miner,META,6,2021-08-24T00:00:00.000Z,21000000.0,0.0,0,False,5090,2023-11-15T12:41:59.176Z,0.008829810406861103,1151.82,-0.90047031,0.0,
27761,RocketSwap,RCKT,8,2023-08-07T08:43:59.000Z,99033542.0,0.0,2000000,False,5091,2023-11-15T12:41:59.176Z,0.10333908961099639,1151.7,-7.8336904,0.0,
28050,DarkMeta,DMT,2,2023-09-19T04:40:42.000Z,1000000000.0,0.0,1000000000,False,5092,2023-11-15T12:41:59.176Z,0.001189247290623463,1147.97,-3.17317235,0.0,
18627,Cornatto,CNC,3,2022-03-08T06:48:31.000Z,1000000000.0,0.0,209907865,False,5093,2023-11-15T12:41:59.176Z,0.0001421821189004497,1143.3,3.51377159,0.0,
24336,MMFinance (Arbitrum),MMF,6,2023-04-10T06:22:36.000Z,,0.0,0,False,5094,2023-11-15T12:41:59.176Z,0.005341278631110798,1140.43,-1.03275496,0.0,
21267,Laika,LAIKA,7,2022-08-05T07:54:57.000Z,999999999997.0,0.0,1000000000000,False,5095,2023-11-15T12:41:59.176Z,6.212760148723e-08,1137.14,-5.3932983,0.0,
4105,Coinmetro Token,XCM,5,2019-08-01T00:00:00.000Z,330000000.0,0.0,326798666.0705,False,5096,2023-11-15T12:41:59.176Z,0.6340666615636522,1133.92,0.05918054,0.0,
24680,ANDY,ANDY,1,2023-04-24T05:58:59.000Z,1000000000000.0,0.0,1000000000000,False,5097,2023-11-15T12:41:59.176Z,4.774622606001e-08,1133.22,5.55867767,0.0,
17299,Kingdom Karnage,KKT,8,2022-01-14T08:53:17.000Z,1000000000.0,0.0,1000000000,False,5098,2023-11-15T12:41:59.176Z,0.0006209755337522621,1132.37,0.73863805,0.0,
24192,Whisper,WISP,10,2023-04-03T12:19:15.000Z,100000000.0,0.0,100000000,False,5099,2023-11-15T12:41:59.176Z,0.0012674820200974095,1123.71,-1.86734522,0.0,
